,Title,published_date,Views,Likes,Comments,Month
208,The Secret Data Scientists Don't Want You to Know,2020-03-16 13:00:23+00:00,11177,1140,100,Mar
209,The 5 Stages of Learning Data Science,2020-03-13 13:00:26+00:00,17844,1285,70,Mar
210,Can You Learn Data Science Without a Computer?,2020-03-11 13:00:03+00:00,2374,151,14,Mar
211,The Best Free Data Science Courses Nobody is Talking About,2020-03-09 13:00:04+00:00,354586,21241,620,Mar
212,The Data Science Projects that Got Me a Job,2020-03-06 14:00:11+00:00,42298,1393,41,Mar
213,How to Integrate Data Science into Your Business,2020-03-02 14:00:01+00:00,3517,130,16,Mar
214,The Problem with Data Science,2020-02-28 14:00:07+00:00,3911,149,18,Feb
215,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24 14:00:00+00:00,1259,44,16,Feb
216,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21 14:00:02+00:00,150801,2720,95,Feb
217,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17 14:00:04+00:00,338462,17918,520,Feb
218,Data Science Advice for College Students,2020-02-14 17:22:37+00:00,69667,1963,191,Feb
219,Avoid These Data Science Resume Mistakes!,2020-02-10 15:52:59+00:00,29208,1247,60,Feb
220,Data Science Explained with ... Cooking?,2020-02-07 15:56:55+00:00,5788,314,48,Feb
221,The 4 Types of Sports Analytics Projects,2020-02-03 16:35:19+00:00,35928,1129,65,Feb
222,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31 18:50:23+00:00,675,19,13,Jan
223,How I Learned Data Science,2020-01-27 14:41:18+00:00,94819,2677,209,Jan
224,What is Sports Analytics Really?,2020-01-20 14:00:00+00:00,24811,682,75,Jan
225,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18 01:03:08+00:00,115603,3180,576,Jan
226,How To Learn Programming for Data Science [3 Steps],2020-01-13 16:48:44+00:00,30501,1982,96,Jan
227,Data Science Fundamentals: SQL Queries,2020-01-10 19:15:01+00:00,7241,225,35,Jan
228,Questions You Should Ask Your Data Science Interviewers,2020-01-06 14:00:04+00:00,3215,148,14,Jan
229,The 9 Books That Changed My Perspective in 2019,2020-01-03 14:45:28+00:00,3426,175,25,Jan
230,The Data Science Interview: What to Expect,2019-12-30 14:00:01+00:00,8794,380,32,Dec
231,5 Data Science Resolutions for 2020,2019-12-27 14:00:07+00:00,484,24,12,Dec
232,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23 12:59:47+00:00,19902,681,95,Dec
233,Collision Course: Sports Betting + Data Science,2019-12-20 14:00:02+00:00,22014,572,27,Dec
234,3 Reasons You Should NOT Become a Data Scientist,2019-12-16 18:46:58+00:00,101237,2900,200,Dec
235,5 Sports Analytics Books to Get You Started,2019-12-13 14:00:01+00:00,12279,447,60,Dec
236,Math Needed for Mastering Data Science,2019-12-09 14:00:15+00:00,58733,2888,215,Dec
237,The 5 Stages of Data Science Adoption,2019-12-06 14:00:04+00:00,1408,68,17,Dec
238,How YOU Can Land a Sports Analytics Job,2019-12-02 14:00:05+00:00,78573,3317,228,Dec
239,Data Science Fundamentals: Linear Regression,2019-11-29 14:00:02+00:00,6866,176,42,Nov
